Timestamp,Headlines_Count,Avg_Polarity,Avg_Subjectivity
2026-01-01 06:05:34,10,0.076,0.162
2026-01-01 06:05:34,10,0.076,0.162
2026-01-01 06:09:40,10,0.076,0.162
2026-01-01 06:11:00,10,0.076,0.162
2026-01-01 06:11:26,10,0.076,0.162
2026-01-01 06:16:46,10,0.076,0.162
2026-01-01 06:22:20,10,0.076,0.162
2026-01-07 10:27:17,10,-0.017,0.152
2026-01-17 22:27:24,10,0.000,0.040
2026-01-21 22:27:20,10,0.036,0.095
2026-01-30 02:27:17,10,0.133,0.245
2026-02-02 10:27:23,10,-0.077,0.117
2026-02-04 10:27:15,10,0.010,0.241
2026-02-20 11:04:13,10,0.090,0.150
2026-03-01 06:27:16,10,-0.004,0.043
2026-03-07 22:27:20,10,0.000,0.000
2026-03-08 02:27:17,10,0.060,0.150
2026-03-09 02:27:19,10,0.014,0.055
2026-03-12 22:27:19,10,0.088,0.235
2026-03-19 02:27:18,10,-0.019,0.089
2026-03-23 02:27:22,10,-0.050,0.113
2026-03-31 06:27:23,10,0.050,0.100
2026-03-31 23:06:51,10,0.068,0.200
2026-04-03 02:27:17,10,0.078,0.372
